Group ID,Temporal sequence,Group size,Cumulative rainfall (mm),Average maximum temperature (degrees C),fGC (g/ng dry feces)
1,1,42,5.2,34.5,55.4
1,2,44,0.0,37.1,76.9
1,3,44,4.4,37.9,67.3
1,4,43,1.0,36.6,65.9
1,5,43,0.0,34.4,91.4
1,6,37,0.6,31.9,84.1
1,7,38,0.0,30.5,50.0
1,9,40,0.0,34.0,92.6
1,10,40,0.8,36.0,70.0
1,12,37,228.0,32.5,191.5
1,13,34,3.2,34.7,63.9
1,14,35,56.3,35.4,95.5
1,15,34,35.2,34.1,61.3
1,16,34,7.2,33.6,59.4
1,17,33,0.0,32.0,16.1
1,18,34,0.0,30.7,99.8
1,19,35,0.0,32.6,65.9
1,20,36,0.0,33.6,68.7
1,21,36,0.0,35.2,76.2
1,22,38,26.2,33.1,89.6
1,23,35,24.0,31.9,68.2
1,24,37,61.0,32.0,67.2
1,25,36,0.0,34.1,67.8
1,26,36,43.4,33.3,71.6
1,27,35,58.0,32.9,79.3
1,28,36,48.8,31.2,113.4
1,29,37,0.0,30.2,59.6
1,30,36,0.0,30.3,66.2
1,31,36,0.8,28.8,66.6
1,32,37,1.0,32.1,70.1
1,33,37,7.2,34.0,58.1
1,34,37,50.5,32.4,63.8
1,35,37,130.9,31.0,79.2
1,36,39,5.4,32.3,97.7
1,37,41,9.8,36.1,69.8
1,38,41,12.7,36.0,73.9
1,39,41,19.6,34.6,68.4
1,40,42,101.8,29.8,60.7
1,41,41,0.0,30.5,74.7
1,42,42,0.0,29.8,54.9
1,43,42,0.0,30.6,83.5
1,44,42,0.0,32.6,71.9
1,45,43,0.8,33.8,84.3
1,46,41,27.6,32.4,63.0
1,47,41,7.0,33.4,65.4
1,48,41,68.0,32.7,57.4
1,49,42,42.6,32.4,122.1
1,50,42,30.8,35.0,91.9
1,51,41,30.6,33.3,61.8
1,52,41,6.6,33.0,55.1
1,53,40,0.0,30.4,66.8
1,54,40,0.0,30.8,76.5
1,55,41,0.0,30.7,38.4
1,56,41,0.2,32.7,39.1
1,57,43,7.8,33.5,42.7
1,58,44,11.0,34.0,42.2
1,59,42,77.6,33.3,36.4
1,60,42,16.6,35.1,45.1
1,61,43,0.0,35.8,56.6
1,62,42,116.2,35.3,52.5
1,63,44,90.4,33.2,61.4
1,64,42,23.9,33.4,57.1
1,65,45,4.2,31.1,78.7
1,66,46,1.0,29.0,74.6
1,67,46,0.0,29.8,73.2
1,68,45,0.0,32.8,73.1
1,69,45,4.6,34.4,90.3
1,70,44,30.0,32.7,74.7
