Group ID,Temporal sequence,Group size,Cumulative rainfall (mm),Average maximum temperature (degrees C),Evenness of space use,Monthly home range size (sq km),Average daily travel (km)
1,1,52,4.4,33.2,3.77,4.4,3.9
1,2,51,0.0,33.3,4.18,7.6,4.7
1,3,51,0.0,30.1,4.44,10.5,5.2
1,4,51,0.0,30.1,4.20,8.9,5.3
1,5,51,0.0,31.1,4.20,8.8,4.9
1,6,52,0.0,33.8,3.92,9.0,5.0
1,7,54,4.6,35.0,4.24,9.9,4.4
1,8,58,66.0,34.0,3.83,6.9,3.9
1,9,57,0.0,34.6,4.14,8.2,4.2
1,13,58,37.8,35.2,3.97,7.2,4.3
1,14,57,3.7,33.8,3.89,5.3,4.1
1,15,56,2.2,32.3,4.14,8.8,4.2
1,16,57,0.0,31.3,3.95,6.5,4.2
1,17,62,0.0,30.4,4.27,9.0,4.7
1,18,61,0.0,34.3,3.98,6.6,4.6
1,19,62,0.0,34.3,4.11,8.3,5.1
1,21,65,64.6,34.5,3.84,5.3,4.0
1,22,65,198.2,32.9,3.70,4.9,3.5
1,23,66,13.2,35.1,3.61,7.2,3.7
1,24,66,153.0,33.0,3.74,5.3,3.8
1,25,70,13.8,33.7,4.22,9.3,3.9
1,26,72,20.4,32.8,4.33,8.5,4.1
1,27,72,15.4,30.9,4.43,10.3,4.9
1,28,75,0.0,30.5,4.13,10.3,5.2
2,1,78,4.4,33.2,3.80,6.7,3.8
2,2,80,0.0,33.3,4.09,6.8,4.1
2,3,82,0.0,30.1,4.24,9.7,4.6
2,4,82,0.0,30.1,4.32,9.7,4.9
2,5,80,0.0,31.1,4.45,10.9,5.1
2,6,84,0.0,33.8,4.31,10.6,4.9
2,7,89,4.6,35.0,4.25,10.1,4.8
2,8,90,66.0,34.0,4.29,10.0,3.6
2,9,90,0.0,34.6,4.15,9.8,4.5
2,13,90,37.8,35.2,4.54,14.0,4.6
2,14,89,3.7,33.8,4.43,12.1,4.4
2,15,87,2.2,32.3,4.15,8.8,4.6
2,16,85,0.0,31.3,4.19,9.3,4.7
2,17,88,0.0,30.4,4.16,10.5,5.0
2,18,90,0.0,34.3,4.17,10.5,5.3
2,19,86,0.0,34.3,4.39,11.2,4.7
2,21,88,64.6,34.5,3.84,8.3,4.2
2,22,89,198.2,32.9,4.07,9.2,4.1
2,23,91,13.2,35.1,4.13,10.0,4.4
2,24,91,153.0,33.0,4.28,10.1,4.1
2,25,92,13.8,33.7,4.06,8.3,4.0
2,26,94,20.4,32.8,4.17,7.7,4.1
2,27,93,15.4,30.9,3.99,7.5,4.0
2,28,91,0.0,30.5,4.01,8.3,4.3
3,1,29,4.4,33.2,4.19,9.2,4.7
3,2,29,0.0,33.3,4.28,9.8,4.9
3,3,29,0.0,30.1,4.25,8.9,4.7
3,4,29,0.0,30.1,4.46,11.5,4.7
3,5,30,0.0,31.1,4.41,11.3,5.0
3,6,30,0.0,33.8,4.61,15.8,6.1
3,7,32,4.6,35.0,4.75,20.0,7.2
3,8,31,66.0,34.0,4.87,22.1,8.0
3,9,29,0.0,34.6,4.75,21.9,8.3
3,13,24,37.8,35.2,4.25,13.0,4.7
3,14,22,3.7,33.8,4.00,10.2,4.4
3,15,23,2.2,32.3,4.16,9.4,4.8
3,16,23,0.0,31.3,4.20,9.0,4.9
3,17,23,0.0,30.4,4.24,9.7,5.1
3,18,22,0.0,34.3,4.40,12.3,5.4
3,19,21,0.0,34.3,4.59,15.1,5.7
3,21,22,64.6,34.5,4.48,13.6,5.6
3,22,22,198.2,32.9,4.41,12.6,4.7
3,23,22,13.2,35.1,4.19,10.0,4.5
3,24,22,153.0,33.0,4.21,9.7,4.1
3,25,23,13.8,33.7,4.27,9.2,3.9
3,26,23,20.4,32.8,4.02,7.8,4.7
3,27,23,15.4,30.9,3.83,9.4,4.7
3,28,23,0.0,30.5,3.86,8.4,4.4
4,1,65,4.4,33.2,3.87,6.6,4.7
4,2,65,0.0,33.3,4.01,8.3,5.0
4,3,65,0.0,30.1,4.22,9.3,5.3
4,4,66,0.0,30.1,4.10,8.6,4.9
4,5,65,0.0,31.1,4.20,10.4,5.3
4,6,65,0.0,33.8,4.55,13.2,6.1
4,7,67,4.6,35.0,4.44,12.2,5.9
4,8,69,66.0,34.0,4.47,14.7,6.3
4,9,74,0.0,34.6,4.43,10.5,6.5
4,13,62,37.8,35.2,4.18,8.9,4.5
4,14,61,3.7,33.8,4.04,9.5,4.8
4,15,60,2.2,32.3,4.06,7.2,5.3
4,16,59,0.0,31.3,4.25,8.4,4.8
4,17,59,0.0,30.4,4.24,9.0,5.2
4,18,59,0.0,34.3,4.17,7.8,5.2
4,19,57,0.0,34.3,4.31,9.3,6.1
4,21,55,64.6,34.5,4.36,13.0,5.1
4,22,56,198.2,32.9,4.38,10.8,5.2
4,23,56,13.2,35.1,4.09,9.4,3.7
4,24,55,153.0,33.0,4.11,8.9,3.7
4,25,56,13.8,33.7,3.96,8.5,3.7
4,26,56,20.4,32.8,3.98,6.0,4.3
4,27,58,15.4,30.9,4.05,7.3,4.2
4,28,59,0.0,30.5,4.09,7.5,4.2
5,1,96,4.4,33.2,4.02,8.3,4.4
5,2,100,0.0,33.3,4.40,11.5,5.1
5,3,101,0.0,30.1,4.48,13.0,5.8
5,4,100,0.0,30.1,4.44,12.4,5.6
5,5,99,0.0,31.1,4.41,11.6,5.3
5,6,101,0.0,33.8,4.83,23.6,8.1
5,7,99,4.6,35.0,4.66,25.7,7.8
5,8,102,66.0,34.0,4.92,22.5,6.5
5,9,105,0.0,34.6,5.09,29.6,7.2
5,13,96,37.8,35.2,4.35,12.2,5.2
5,14,97,3.7,33.8,4.43,11.8,5.1
5,15,99,2.2,32.3,4.53,12.5,5.9
5,16,100,0.0,31.3,4.45,12.8,5.9
5,17,100,0.0,30.4,4.80,25.8,7.2
5,18,99,0.0,34.3,4.51,19.7,6.0
5,19,95,0.0,34.3,4.71,20.3,7.2
5,21,100,64.6,34.5,4.81,25.5,6.5
5,22,100,198.2,32.9,4.70,19.9,5.9
5,23,100,13.2,35.1,4.55,17.7,5.4
5,24,101,153.0,33.0,4.43,14.3,4.8
5,25,102,13.8,33.7,3.86,8.9,4.0
5,26,105,20.4,32.8,4.18,11.4,4.8
5,27,102,15.4,30.9,4.08,8.1,4.9
5,28,103,0.0,30.5,4.28,11.1,4.6
,,,,,,,
